Gol,X,Y,Campeonato,subEventoNome,idTime,idJogador,distanciaCentro,distanciaGol,Angulo
0,16,51,Copa do mundo,Shot,15670,7972,1.0,16.812569702457743,0.428417211508841
0,27,23,Copa do mundo,Shot,16521,122940,27.0,33.34254039511687,0.18674188336675349
0,20,29,Copa do mundo,Shot,16521,122940,21.0,25.046406927940783,0.24534391562807015
0,29,42,Copa do mundo,Shot,15670,116349,8.0,30.89081578722064,0.23261917724626818
1,18,47,Copa do mundo,Free kick shot,15670,7972,3.0,19.000328944520934,0.3787722941698328
0,16,39,Copa do mundo,Shot,14358,4513,11.0,18.25821732809641,0.36693370143647835
0,22,26,Copa do mundo,Shot,15670,116269,24.0,27.87418160233588,0.21793100716394867
0,24,45,Italiano,Shot,3176,26518,5.0,25.40870913682944,0.2838966163814666
0,24,54,Copa do mundo,Free kick shot,15670,21174,4.0,25.33377192602791,0.28552288536522863
0,8,75,Copa do mundo,Shot,15670,361807,25.0,18.29268979674668,0.1891283495538501
0,12,55,Alemao,Shot,2454,14758,5.0,13.012397934277908,0.5341519416725077
0,13,42,Copa do mundo,Shot,15670,21174,8.0,14.606933285258751,0.46338573138626593
0,23,31,Eurocopa,Free kick shot,4418,25714,19.0,27.12461981300383,0.24000919087378397
0,14,64,Copa do mundo,Shot,14358,101669,14.0,17.288724649319857,0.3604273826581395
0,25,30,Copa do mundo,Shot,15670,70095,20.0,29.292703869735206,0.22367950828689226
0,11,59,Copa do mundo,Shot,15670,21174,9.0,12.947007376224052,0.5014474542557615
0,18,28,Copa do mundo,Shot,15670,70095,22.0,23.700210969525145,0.24716071278714324
1,1,49,Copa do mundo,Shot,15670,21174,1.0,1.2349089035228469,2.5669895830421865
0,26,34,Copa do mundo,Shot,15670,333571,16.0,29.213866570517503,0.23354382809639931
0,23,69,Copa do mundo,Shot,16521,122918,19.0,27.12461981300383,0.24000919087378397
1,10,41,Italiano,Shot,3159,14943,9.0,12.019671376539376,0.5303396409372801
0,19,55,Copa do mundo,Shot,16521,122832,5.0,20.21299087220889,0.35398215152994544
1,18,65,Copa do mundo,Shot,16129,120353,15.0,21.266699320769078,0.3053717793740013
0,13,50,Copa do mundo,Shot,16129,120353,0.0,13.65,0.5239396375264456
0,28,52,Copa do mundo,Shot,16521,122615,2.0,29.42872746144488,0.24723403529212207
0,21,29,Copa do mundo,Shot,16521,122940,21.0,25.933086973979787,0.2401517639532775
0,26,71,Copa do mundo,Shot,16521,292954,21.0,30.52232789287213,0.21429322993676256
0,13,40,Copa do mundo,Shot,16129,220112,10.0,15.11861435449691,0.4347254180747608
0,18,31,Copa do mundo,Shot,16129,220112,19.0,22.577256254912818,0.271838152254586
0,13,49,Copa do mundo,Shot,16521,122847,1.0,13.665467427058616,0.5228832076788991
0,11,49,Copa do mundo,Penalty,16521,122623,1.0,11.568275584545868,0.612092356355344
0,14,52,Copa do mundo,Shot,16521,139393,2.0,14.757371039585607,0.48460536525591696
1,11,50,Copa do mundo,Penalty,16521,122847,0.0,11.55,0.6137460607827115
0,11,68,Copa do mundo,Shot,16521,122615,18.0,16.440574807469478,0.3179400488056638
0,19,60,Espanhol,Shot,701,225948,10.0,20.98219483276237,0.3296328129599388
0,10,33,Ingles,Shot,1611,397178,17.0,15.243113199081087,0.33759032764216496
0,24,47,Copa do mundo,Shot,16521,122918,3.0,25.275333825688634,0.2868003435188237
0,24,64,Copa do mundo,Shot,16129,120339,14.0,26.79272289260649,0.2561036095715717
0,30,53,Copa do mundo,Free kick shot,16521,122847,3.0,31.560299428237368,0.23047982581632215
0,19,29,Copa do mundo,Shot,16129,388928,21.0,24.17281530976481,0.25041398003209947
0,27,38,Copa do mundo,Free kick shot,16521,292954,12.0,29.40344367586899,0.23914323833670167
0,7,35,Copa do mundo,Shot,16521,122832,15.0,12.210036854981233,0.377492841312113
0,12,54,Copa do mundo,Shot,16521,122918,4.0,12.86545762886031,0.545034060148062
0,22,72,Copa do mundo,Shot,16521,139393,22.0,27.167995877502634,0.22922448282251776
1,5,66,Copa do mundo,Shot,16521,122832,16.0,11.65,0.3043948372634069
1,10,51,Copa do mundo,Penalty,9905,3322,1.0,10.520099809412457,0.6686847657975241
0,12,51,Copa do mundo,Shot,1598,8317,1.0,12.616754733290174,0.5640811317617371
0,29,64,Copa do mundo,Shot,9905,237034,14.0,31.78069382502528,0.22002972434351686
0,23,76,Copa do mundo,Free kick shot,9905,3322,26.0,29.47596478488872,0.2037837395781436
0,9,31,Copa do mundo,Shot,1598,8317,19.0,15.550723455839602,0.29404598468395515
1,12,53,Copa do mundo,Shot,1598,4338,3.0,12.75,0.5537770359226951
0,16,21,Copa do mundo,Shot,1598,3563,29.0,25.25,0.19453260758228041
0,24,70,Copa do mundo,Free kick shot,1598,8317,20.0,28.35559909435877,0.22920831127383148
0,12,33,Copa do mundo,Shot,1598,3353,17.0,16.758952831248138,0.33206626567067177
0,19,67,Copa do mundo,Shot,1598,3563,17.0,22.805810663074443,0.280596899650947
1,18,50,Copa do mundo,Shot,9905,3322,0.0,18.9,0.38256633307158344
0,28,32,Copa do mundo,Shot,9905,243588,18.0,31.642534664593477,0.2145024256206434
0,19,42,Espanhol,Shot,676,3359,8.0,20.616558878726586,0.34090504325956533
1,17,66,Copa do mundo,Shot,1598,3304,16.0,20.658714868064763,0.3061401026557032
0,7,48,Copa do mundo,Shot,1598,4338,2.0,7.464080653369174,0.9043227873413638
0,9,77,Copa do mundo,Shot,9905,32597,27.0,19.93251113131509,0.17827032210329918
0,21,58,Copa do mundo,Shot,1598,3840,8.0,22.654855991597035,0.31234119842074864
1,25,52,Copa do mundo,Free kick shot,9905,3322,2.0,26.282170762705277,0.2764143353960685
0,13,39,Copa do mundo,Shot,9905,32597,11.0,15.409250468468608,0.41949264517163204
0,15,31,Copa do mundo,Shot,16216,372915,19.0,20.014619656640992,0.289401632596817
0,15,49,Copa do mundo,Shot,16216,552555,1.0,15.763406992144814,0.4559455575313209
0,23,49,Italiano,Shot,3219,24269,1.0,24.158745828374453,0.30060676755357607
0,12,57,Copa do mundo,Shot,16216,20579,7.0,13.396361446303246,0.5069724665686698
0,7,49,Copa do mundo,Shot,10840,79006,1.0,7.378685519792803,0.9190449283339781
0,14,25,Copa do mundo,Shot,16216,396475,25.0,21.912382344236327,0.2265768519190168
0,24,53,Copa do mundo,Shot,16216,25998,3.0,25.275333825688634,0.2868003435188237
0,8,31,Copa do mundo,Shot,16216,372915,19.0,14.935946571945147,0.2852409034330836
0,6,72,Copa do mundo,Shot,10840,272829,22.0,15.626259949200897,0.19722523191191269
0,30,65,Copa do mundo,Free kick shot,10840,79381,15.0,32.97442190547091,0.21149833552005232
0,9,70,Copa do mundo,Shot,10840,79006,20.0,16.071792059381554,0.2752793134772887
0,13,71,Copa do mundo,Shot,10840,79381,21.0,19.30401512639275,0.2712737199954445
0,17,46,Copa do mundo,Shot,10840,79248,4.0,18.038361899019545,0.3966126372830685
0,31,66,Copa do mundo,Free kick shot,10840,79248,16.0,34.171076951129294,0.20356279677399974
0,8,32,Copa do mundo,Shot,16216,372915,18.0,14.403124660989365,0.3068516613729326
0,21,40,Copa do mundo,Shot,16216,221039,10.0,22.98809474488915,0.3036819004236065
0,23,66,Copa do mundo,Shot,16216,221039,16.0,26.29415334252084,0.2550606567820898
0,31,64,Copa do mundo,Shot,16216,101620,14.0,33.79811385269894,0.2080044914320849
0,31,51,Copa do mundo,Shot,9905,28907,1.0,32.55648936848075,0.22385673776569123
1,9,48,Copa do mundo,Shot,9905,3322,2.0,9.538998899255622,0.7280729606989255
0,13,59,Copa do mundo,Shot,9905,3322,9.0,14.85075755643462,0.4494261620364326
0,12,31,Copa do mundo,Shot,16216,221039,19.0,17.64319982316133,0.30025973949935153
0,25,29,Copa do mundo,Shot,16216,221039,21.0,29.58690588757128,0.21932861969506806
0,23,39,Copa do mundo,Free kick shot,9905,3322,11.0,25.18620654247082,0.2773522957093748
0,29,26,Copa do mundo,Shot,16216,142,24.0,34.21348418387113,0.19028986662438663
0,13,41,Copa do mundo,Shot,9905,237034,9.0,14.85075755643462,0.4494261620364326
0,14,64,Copa do mundo,Shot,9905,3322,14.0,17.288724649319857,0.3604273826581395
0,13,72,Copa do mundo,Shot,16216,25998,22.0,19.768978223469215,0.2588043844534658
0,13,49,Copa do mundo,Shot,16216,20579,1.0,13.665467427058616,0.5228832076788991
0,20,72,Copa do mundo,Free kick shot,16216,221039,22.0,25.40649523251879,0.23856049115996103
0,26,15,Copa do mundo,Shot,9905,3322,35.0,35.53663602537528,0.15859509193894775
0,25,73,Copa do mundo,Shot,16216,149074,23.0,30.20869080248265,0.2105306063250242
0,28,83,Copa do mundo,Shot,9905,243588,33.0,36.39316556717758,0.16269633663831326
0,21,36,Copa do mundo,Free kick shot,9905,3322,14.0,23.853982895944235,0.28271739483462277
0,10,57,Copa do mundo,Shot,16216,221039,7.0,11.44344790699027,0.5790496767581794
0,12,48,Copa do mundo,Shot,16216,20579,2.0,12.666885963013955,0.5601772375647676
0,29,20,Copa do mundo,Shot,9905,243588,30.0,36.15871264301316,0.17057066305179683
0,19,77,Copa do mundo,Shot,1598,4501,27.0,26.570754599747445,0.20780243185280284
0,26,30,Copa do mundo,Shot,10840,237836,20.0,30.23722870899382,0.21828520037858615
0,24,50,Copa do mundo,Shot,10840,79149,0.0,25.2,0.28845921237714006
0,23,58,Copa do mundo,Shot,1598,8317,8.0,24.703491656039233,0.2879453933895278
0,31,40,Copa do mundo,Free kick shot,1598,3306,10.0,33.19265732055811,0.21552247989627846
0,28,62,Copa do mundo,Free kick shot,1598,8317,12.0,30.41710045352778,0.23178243711250054
0,7,51,Copa do mundo,Shot,1598,8317,1.0,7.378685519792803,0.9190449283339781
0,24,76,Copa do mundo,Shot,1598,3563,26.0,30.34221481698394,0.20058691578537374
0,7,44,Copa do mundo,Shot,1598,8317,6.0,8.320606949015197,0.7668402757191194
0,23,37,Copa do mundo,Shot,1598,3563,13.0,25.585640504001457,0.26900391356748554
0,12,59,Copa do mundo,Shot,1598,8317,9.0,13.891814136389819,0.4744514361613353
0,6,48,Copa do mundo,Shot,1598,3341,2.0,6.432728814430155,1.025372627090774
0,22,52,Copa do mundo,Shot,1598,3346,2.0,23.136551169091735,0.31331845302661493
0,12,60,Copa do mundo,Shot,1598,3563,10.0,14.177799547179385,0.4569083224019795
0,13,39,Copa do mundo,Shot,10840,79149,11.0,15.409250468468608,0.41949264517163204
1,10,42,Copa do mundo,Shot,1598,4338,8.0,11.717081547894082,0.5552607966192705
0,9,55,Copa do mundo,Shot,1598,3306,5.0,9.993247720335965,0.6747302235506376
0,20,66,Copa do mundo,Free kick shot,1598,3563,16.0,23.434163095788165,0.27941139649080066
0,10,27,Copa do mundo,Shot,9905,3322,23.0,18.268894328885914,0.235469255366503
0,16,30,Copa do mundo,Shot,10840,237836,20.0,21.242410409367388,0.27381239958635345
0,19,44,Copa do mundo,Shot,9905,70965,6.0,20.327628981265867,0.3501973828101036
0,26,64,Copa do mundo,Free kick shot,9905,3322,14.0,28.77672670753225,0.240537542162153
0,16,49,Copa do mundo,Shot,9905,8126,1.0,16.812569702457743,0.428417211508841
0,23,24,Copa do mundo,Free kick shot,10840,79098,26.0,29.47596478488872,0.2037837395781436
0,30,33,Copa do mundo,Shot,9905,3322,17.0,33.381918758513564,0.20645194674560874
0,8,66,Copa do mundo,Shot,9905,32597,16.0,13.368619973654724,0.3560705838299028
1,18,71,Copa do mundo,Shot,9905,32597,21.0,23.313783476733242,0.2552731975395584
0,11,49,Copa do mundo,Penalty,9905,3322,1.0,11.568275584545868,0.612092356355344
0,25,32,Copa do mundo,Shot,9905,28907,18.0,28.739389346330935,0.23221001418883105
0,22,40,Copa do mundo,Shot,9905,3322,10.0,23.997083156083782,0.29203194868912696
0,27,27,Copa do mundo,Shot,9905,70403,23.0,32.05035101211842,0.20190227402910502
0,18,43,Copa do mundo,Shot,10840,53562,7.0,19.43997170779834,0.36274320659889703
0,23,66,Copa do mundo,Shot,9905,135927,16.0,26.29415334252084,0.2550606567820898
1,11,51,Copa do mundo,Penalty,10840,79149,1.0,11.568275584545868,0.612092356355344
0,22,58,Copa do mundo,Shot,10840,53562,8.0,23.678048906107108,0.29967705742481254
